"","Well","Sample","SampleType","Ct","WormNumber","strip.well","Line","Strain","Species","start","passage","days.on.plate"
"63","G12","FCX32","strip",31.2969,2,7,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"64","H4","FCX37","strip",32.8742,3,8,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"65","H5","FCX37","strip",35.7927,3,16,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"66","H6","FCX2","strip",18.4327,3,8,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"67","H7","FCX2","strip",24.7815,3,16,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"68","H8","FCX1","strip",Inf,3,8,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"69","H9","FCX1","strip",Inf,3,16,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"70","H10","FCX35","strip",Inf,3,8,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"71","H11","FCX35","strip",Inf,3,16,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"72","H12","FCX32","strip",34.7428,3,8,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"73","A2","FCX32","strip",35.1624,3,9,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"74","A3","FCX31","strip",Inf,0,1,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"75","A4","FCX31","strip",Inf,3,9,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"76","A5","FCX3","strip",Inf,0,1,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"77","A6","FCX3","strip",Inf,3,9,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"78","A7","FCX33","strip",Inf,0,1,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"79","A8","FCX33","strip",Inf,3,9,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"80","A9","FCX34","strip",Inf,0,1,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"81","A10","FCX34","strip",35.4593,3,9,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"82","A11","FCX4","strip",Inf,0,1,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"83","A12","FCX4","strip",Inf,3,9,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"84","B2","FCX32","strip",Inf,3,10,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"85","B3","FCX31","strip",35.3989,1,2,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"86","B4","FCX31","strip",33.0551,3,10,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"87","B5","FCX3","strip",Inf,1,2,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"88","B6","FCX3","strip",Inf,3,10,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"89","B7","FCX33","strip",Inf,1,2,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"90","B8","FCX33","strip",Inf,3,10,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"91","B9","FCX34","strip",36.5168,1,2,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"92","B10","FCX34","strip",Inf,3,10,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"93","B11","FCX4","strip",Inf,1,2,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"94","B12","FCX4","strip",Inf,3,10,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"95","C2","FCX32","strip",Inf,3,11,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"96","C3","FCX31","strip",Inf,1,3,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"97","C4","FCX31","strip",Inf,3,11,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"98","C5","FCX3","strip",Inf,1,3,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"99","C6","FCX3","strip",25.0211,3,11,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"100","C7","FCX33","strip",Inf,1,3,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"101","C8","FCX33","strip",Inf,3,11,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"102","C9","FCX34","strip",Inf,1,3,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"103","C10","FCX34","strip",35.0464,3,11,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
