"","Well","Sample","SampleType","Ct","WormNumber","strip.well","Line","Strain","Species","start","passage","days.on.plate"
"209","E10","FCX10","strip",24.9738,3,13,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"210","E11","FCX36","strip",22.2318,2,5,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"211","E12","FCX36","strip",26.8769,3,13,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"212","F3","FCX38","strip",26.7534,2,6,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"213","F4","FCX38","strip",36,3,14,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"214","F5","FCX5","strip",28.4523,2,6,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"215","F6","FCX5","strip",31.968,3,14,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"216","F7","FCX14","strip",29.0488,2,6,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"217","F8","FCX14","strip",35.8674,3,14,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"218","F9","FCX10","strip",Inf,2,6,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"219","F10","FCX10","strip",Inf,3,14,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"220","F11","FCX36","strip",23.7559,2,6,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"221","F12","FCX36","strip",20.1814,3,14,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"222","G3","FCX38","strip",30.1878,2,7,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"223","G4","FCX38","strip",20.4236,3,15,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"224","G5","FCX5","strip",Inf,2,7,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"225","G6","FCX5","strip",35.1391,3,15,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"226","G7","FCX14","strip",Inf,2,7,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"227","G8","FCX14","strip",20.3885,3,15,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"228","G9","FCX10","strip",Inf,2,7,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"229","G10","FCX10","strip",35.64,3,15,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"230","G11","FCX36","strip",21.1919,2,7,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"231","G12","FCX36","strip",21.9888,3,15,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"232","H2","FCX36","strip",19.3193,3,8,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"233","H3","FCX38","strip",20.0383,3,8,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"234","H4","FCX38","strip",24.1195,3,16,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"235","H5","FCX5","strip",Inf,3,8,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"236","H6","FCX5","strip",30.371,3,16,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"237","H7","FCX14","strip",Inf,3,8,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"238","H8","FCX14","strip",Inf,3,16,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"239","H9","FCX10","strip",Inf,3,8,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"240","H10","FCX10","strip",31.7102,3,16,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"241","A6","FCX8","strip",Inf,0,1,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"242","A7","FCX28","strip",Inf,0,1,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"243","A8","FCX28","strip",24.1623,3,9,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"244","A9","FCX9","strip",Inf,0,1,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"245","A10","FCX11","strip",Inf,0,1,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"246","A11","FCX13","strip",36,0,1,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"247","A12","FCX37","strip",Inf,0,1,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"248","B6","FCX8","strip",Inf,1,2,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"249","B7","FCX28","strip",Inf,1,2,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"250","B8","FCX28","strip",Inf,3,10,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"251","B9","FCX9","strip",38.1712,1,2,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"252","B10","FCX11","strip",19.3918,1,2,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"253","B11","FCX13","strip",Inf,1,2,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"254","B12","FCX37","strip",29.1425,1,2,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"255","C6","FCX8","strip",Inf,1,3,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"256","C7","FCX28","strip",Inf,1,3,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"257","C8","FCX28","strip",Inf,3,11,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"258","C9","FCX9","strip",27.1807,1,3,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"259","C10","FCX11","strip",Inf,1,3,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"260","C11","FCX13","strip",21.5479,1,3,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"261","C12","FCX37","strip",33.8979,1,3,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"262","D6","FCX8","strip",Inf,1,4,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"263","D7","FCX28","strip",Inf,1,4,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"264","D8","FCX28","strip",24.2624,3,12,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"265","D9","FCX9","strip",Inf,1,4,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"266","D10","FCX11","strip",Inf,1,4,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"267","D11","FCX13","strip",18.966,1,4,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"268","D12","FCX37","strip",Inf,1,4,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"269","E5","FCX20","strip",Inf,3,9,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"270","E6","FCX8","strip",28.1944,2,5,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"271","E7","FCX28","strip",Inf,2,5,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"272","E8","FCX28","strip",Inf,3,13,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"273","E9","FCX9","strip",37.1626,2,5,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"274","E10","FCX11","strip",35.9624,2,5,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"275","E11","FCX13","strip",22.0533,2,5,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"276","E12","FCX37","strip",Inf,2,5,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"277","F5","FCX20","strip",Inf,3,10,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"278","F6","FCX8","strip",Inf,2,6,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"279","F7","FCX28","strip",Inf,2,6,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"280","F8","FCX28","strip",20.9788,3,14,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"281","F9","FCX9","strip",23.2275,2,6,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"282","F10","FCX11","strip",21.4907,2,6,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"283","F11","FCX13","strip",Inf,2,6,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"284","F12","FCX37","strip",Inf,2,6,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"285","G5","FCX20","strip",Inf,3,11,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"286","G6","FCX8","strip",Inf,2,7,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"287","G7","FCX28","strip",Inf,2,7,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"288","G8","FCX28","strip",Inf,3,15,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"289","G9","FCX37","strip",Inf,3,9,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"290","G10","FCX11","strip",Inf,2,7,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"291","G11","FCX13","strip",Inf,2,7,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"292","G12","FCX37","strip",Inf,2,7,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"293","H5","FCX20","strip",32.1032,3,12,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"294","H6","FCX8","strip",Inf,3,8,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"295","H7","FCX28","strip",Inf,3,8,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"296","H8","FCX28","strip",37.0261,3,16,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"297","H9","FCX37","strip",Inf,3,8,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"298","H10","FCX11","strip",Inf,3,8,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"299","H11","FCX13","strip",29.0976,3,8,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"300","H12","FCX37","strip",Inf,3,8,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"301","A1","FCX12","strip",Inf,0,1,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"302","A2","FCX12","strip",Inf,3,9,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"303","A3","FCX19","strip",Inf,0,1,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"304","A4","FCX24","strip",Inf,0,1,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"305","A5","FCX24","strip",Inf,3,9,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"306","A6","FCX25","strip",Inf,0,1,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"307","A7","FCX20","strip",Inf,0,1,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"308","A8","FCX21","strip",Inf,0,1,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"309","A9","FCX27","strip",38.161,0,1,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"310","A10","FCX22","strip",Inf,0,1,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"311","A11","FCX22","strip",Inf,3,9,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"312","A12","FCX21","strip",Inf,3,9,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"313","B1","FCX12","strip",Inf,1,2,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"314","B2","FCX12","strip",Inf,3,10,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"315","B3","FCX19","strip",Inf,1,2,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"316","B4","FCX24","strip",Inf,1,2,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"317","B5","FCX24","strip",Inf,3,10,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"318","B6","FCX25","strip",Inf,1,2,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"319","B7","FCX20","strip",Inf,1,2,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"320","B8","FCX21","strip",Inf,1,2,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"321","B9","FCX27","strip",Inf,1,2,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"322","B10","FCX22","strip",Inf,1,2,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"323","B11","FCX22","strip",Inf,3,10,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"324","B12","FCX21","strip",Inf,3,10,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"325","C1","FCX12","strip",Inf,1,3,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"326","C2","FCX12","strip",Inf,3,11,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"327","C3","FCX19","strip",Inf,1,3,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"328","C4","FCX24","strip",Inf,1,3,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"329","C5","FCX24","strip",Inf,3,11,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"330","C6","FCX25","strip",Inf,1,3,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"331","C7","FCX20","strip",Inf,1,3,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"332","C8","FCX21","strip",Inf,1,3,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"333","C9","FCX27","strip",Inf,1,3,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"334","C10","FCX22","strip",Inf,1,3,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"335","C11","FCX22","strip",Inf,3,11,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"336","C12","FCX21","strip",Inf,3,11,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"337","D1","FCX12","strip",Inf,1,4,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"338","D2","FCX12","strip",Inf,3,12,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"339","D3","FCX19","strip",Inf,1,4,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"340","D4","FCX24","strip",Inf,1,4,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"341","D5","FCX24","strip",Inf,3,12,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"342","D6","FCX25","strip",Inf,1,4,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"343","D7","FCX20","strip",26.3226,1,4,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"344","D8","FCX21","strip",Inf,1,4,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"345","D9","FCX27","strip",19.4016,1,4,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"346","D10","FCX22","strip",Inf,1,4,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"347","D11","FCX22","strip",27.2203,3,12,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"348","D12","FCX21","strip",Inf,3,12,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"349","E1","FCX12","strip",Inf,2,5,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"350","E2","FCX12","strip",Inf,3,13,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"351","E3","FCX19","strip",Inf,2,5,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"352","E4","FCX24","strip",Inf,2,5,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"353","E5","FCX24","strip",Inf,3,13,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"354","E6","FCX25","strip",35.7322,2,5,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"355","E7","FCX20","strip",Inf,2,5,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"356","E8","FCX21","strip",Inf,2,5,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"357","E9","FCX27","strip",Inf,2,5,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"358","E10","FCX22","strip",33.4915,2,5,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"359","E11","FCX22","strip",Inf,3,13,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"360","F1","FCX12","strip",Inf,2,6,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"361","F2","FCX12","strip",Inf,3,14,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"362","F3","FCX19","strip",Inf,2,6,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"363","F4","FCX24","strip",Inf,2,6,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"364","F5","FCX24","strip",Inf,3,14,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"365","F6","FCX25","strip",Inf,2,6,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"366","F7","FCX20","strip",35.2719,2,6,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"367","F8","FCX21","strip",Inf,2,6,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"368","F9","FCX27","strip",Inf,2,6,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"369","F10","FCX22","strip",36.1399,2,6,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"370","F11","FCX22","strip",36,3,14,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"371","G1","FCX12","strip",Inf,2,7,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"372","G2","FCX12","strip",Inf,3,15,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"373","G3","FCX19","strip",Inf,2,7,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"374","G4","FCX24","strip",Inf,2,7,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"375","G5","FCX24","strip",Inf,3,15,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"376","G6","FCX25","strip",Inf,2,7,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"377","G7","FCX20","strip",Inf,2,7,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"378","G8","FCX21","strip",Inf,2,7,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"379","G9","FCX27","strip",23.6467,2,7,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"380","G10","FCX22","strip",Inf,2,7,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"381","G11","FCX22","strip",Inf,3,15,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"382","H1","FCX12","strip",Inf,3,8,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"383","H2","FCX12","strip",31.6933,3,16,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"384","H3","FCX19","strip",34.1532,3,8,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"385","H4","FCX24","strip",Inf,3,8,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"386","H5","FCX24","strip",Inf,3,16,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"387","H6","FCX25","strip",Inf,3,8,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"388","H7","FCX20","strip",Inf,3,8,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"389","H8","FCX21","strip",Inf,3,8,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"390","H9","FCX27","strip",Inf,3,8,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"391","H10","FCX22","strip",Inf,3,8,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"392","H11","FCX22","strip",Inf,3,16,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"393","A6","FCX27","strip",Inf,3,9,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"394","A7","FCX30","strip",Inf,0,1,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"395","A8","FCX30","strip",Inf,3,9,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"396","A9","FCX29","strip",Inf,0,1,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"397","A10","FCX17","strip",Inf,0,1,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"398","A11","FCX16","strip",Inf,0,1,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"399","A12","FCX29","strip",Inf,3,9,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"400","B6","FCX27","strip",Inf,3,10,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"401","B7","FCX30","strip",Inf,1,2,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"402","B8","FCX30","strip",Inf,3,10,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"403","B9","FCX29","strip",Inf,1,2,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"404","B10","FCX17","strip",Inf,1,2,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"405","B11","FCX16","strip",Inf,1,2,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"406","B12","FCX29","strip",Inf,3,10,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"407","C6","FCX27","strip",Inf,3,11,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"408","C7","FCX30","strip",36,1,3,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"409","C8","FCX30","strip",Inf,3,11,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"410","C9","FCX29","strip",Inf,1,3,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"411","C10","FCX17","strip",Inf,1,3,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"412","C11","FCX16","strip",Inf,1,3,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"413","C12","FCX29","strip",Inf,3,11,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"414","D6","FCX27","strip",Inf,3,12,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"415","D7","FCX30","strip",Inf,1,4,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"416","D8","FCX30","strip",33.4186,3,12,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"417","D9","FCX29","strip",Inf,1,4,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"418","D10","FCX17","strip",Inf,1,4,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"419","D11","FCX16","strip",Inf,1,4,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
