"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME","Sample","Passage","Ct","infected"
"156","FCY30","VX80","latens","FCY",0,25.7052,29.8901266961489,0,0,0.31,0.16,0.06,0.31,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80","FCY30.1","1",Inf,0
"157","FCY31","JU1428","tropicalis","FCY",1,NA,31.0882924290538,1,0.08,1,0.01,0.01,0.07,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.00729306891515942,"C. tropicalis
 JU1428","FCY31.1","1",35.477,1
"158","FCY31","JU1428","tropicalis","FCY",1,NA,31.0882924290538,1,0.08,1,0.01,0.01,0.07,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.00729306891515942,"C. tropicalis
 JU1428","FCY31.2","2",Inf,0
"159","FCY32","JU1428","tropicalis","FCY",0,26.3557,30.3275755235791,0.17,0.01,1,0.16,0.06,0.3,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.021081643947775,"C. tropicalis
 JU1428","FCY32.1","1",Inf,0
"160","FCY33","JU1428","tropicalis","FCY",0,28.2022,29.5668586181045,0.09,0.01,0.59,0.31,0.09,0.64,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0227685450321795,"C. tropicalis
 JU1428","FCY33.1","1",Inf,0
"161","FCY34","JU1428","tropicalis","FCY",1,33.0848,29.5161441577395,0,0,0.14,0.32,0.17,0.51,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCY34.1","1",33.5747,1
"162","FCY34","JU1428","tropicalis","FCY",1,33.0848,29.5161441577395,0,0,0.14,0.32,0.17,0.51,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCY34.2","2",Inf,0
"163","FCY4","ZF1092","sp.25","FCY",0,35.8301,32.7413995407355,0,0,1,0.05,0.01,0.19,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY4.1","1",Inf,0
"164","FCY5","ZF1092","sp.25","FCY",1,34.52215,32.3863983181807,0,0,0.43,0.12,0.04,0.26,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY5.1","1",20.9783,1
"165","FCY5","ZF1092","sp.25","FCY",1,34.52215,32.3863983181807,0,0,0.43,0.12,0.04,0.26,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY5.2","2",Inf,0
"166","FCY6","ZF1092","sp.25","FCY",1,32.9083,32.7921140011005,0,0,1,0.04,0.01,0.17,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY6.1","1",35.0693,1
"167","FCY6","ZF1092","sp.25","FCY",1,32.9083,32.7921140011005,0,0,1,0.04,0.01,0.17,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY6.2","2",Inf,0
"168","FCY7","JU4093","sp.65","FCY",0,19.6021,31.1189219346232,0.59,0.08,1,0.12,0.05,0.26,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0265236615153527,"C. sp. 65
 JU4093","FCY7.1","1",Inf,0
"169","FCY8","JU4093","sp.65","FCY",1,29.4065,31.1189219346232,0,0,0.43,0.12,0.04,0.25,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCY8.1","1",33.0111,1
