,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
343,F6,FCY25,strip,25.0754,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
344,F7,FCY21,strip,Inf,2,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
345,F8,FCY4,strip,Inf,2,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
346,F9,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
347,F10,FCY3,strip,33.5785,2,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
348,F11,FCY27,strip,Inf,2,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
349,F12,FCY27,strip,Inf,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
350,G2,FCY20,strip,Inf,2,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
351,G3,FCY20,strip,25.7065,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
352,G4,FCY33,strip,Inf,2,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
353,G5,FCY25,strip,Inf,2,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
354,G6,FCY25,strip,26.2148,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
355,G7,FCY21,strip,24.7445,2,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
356,G8,FCY4,strip,35.8301,2,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
357,G9,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
358,G10,FCY3,strip,Inf,2,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
359,G11,FCY27,strip,34.147,2,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
360,G12,FCY27,strip,33.7268,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
