"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME"
"41","FCY19","SB454","sulstoni","FCY",1,24.1549,28.690968643186,0,0,0.12,0.4,0.15,0.71,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0,"C. sulstoni
 SB454"
"42","FCY20","SB454","sulstoni","FCY",10,27.0246,29.3910740529689,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.221416005617925,"C. sulstoni
 SB454"
"43","FCY21","SB454","sulstoni","FCY",10,21.51325,27.990863233403,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511107276595143,"C. sulstoni
 SB454"
"44","FCY22","SB454","sulstoni","FCY",10,27.7143,28.2242317033307,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.46153598736134,"C. sulstoni
 SB454"
"45","FCY23","JU1857","macrosperma","FCY",1,34.6761,30.9320908433831,0,0,0.2,0.23,0.11,0.4,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"46","FCY24","JU1857","macrosperma","FCY",1,29.06855,31.1187856193252,0,0,0.24,0.19,0.09,0.35,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"47","FCY25","JU1857","macrosperma","FCY",0,26.2148,31.5855225591805,0,0,0.63,0.09,0.03,0.22,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"48","FCY26","JU1857","macrosperma","FCY",1,32.80365,31.7255436411371,0,0,1,0.06,0.01,0.16,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"49","FCY27","VX80","latens","FCY",2,33.9369,29.0961941128291,0.1,0.01,0.49,0.28,0.14,0.46,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0196195896022571,"C. latens
 VX80"
"50","FCY28","VX80","latens","FCY",0,26.1029,29.8429732165976,0,0,0.45,0.12,0.04,0.25,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80"
"51","FCY29","VX80","latens","FCY",1,26.8695,29.9829942985542,0,0,0.64,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80"
"52","FCY3","ZF1092","sp.25","FCY",0,34.78925,32.5996750879695,0,0,0.89,0.08,0.02,0.21,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"53","FCY30","VX80","latens","FCY",0,25.7052,29.6562784406555,0,0,0.31,0.16,0.06,0.31,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80"
"54","FCY31","JU1428","tropicalis","FCY",1,NA,30.9684161420552,1,0.08,1,0.01,0.01,0.07,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.00736813279803884,"C. tropicalis
 JU1428"
"55","FCY32","JU1428","tropicalis","FCY",0,26.3557,30.2683107322722,0.17,0.01,1,0.16,0.06,0.3,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0211733239700596,"C. tropicalis
 JU1428"
"56","FCY33","JU1428","tropicalis","FCY",0,28.2022,29.5682053224892,0.09,0.01,0.59,0.31,0.09,0.64,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0227666413836446,"C. tropicalis
 JU1428"
"57","FCY34","JU1428","tropicalis","FCY",1,33.0848,29.5215316285037,0,0,0.14,0.32,0.17,0.51,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
