"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"207","FDI7.5",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"208","FDI8.5",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"209","FDI9.5",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"210","FDI10.5",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"211","FDI11.5",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"212","FDI12.5",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"213","FDI14.5",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"214","FDI19.5",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"215","FDI20.5",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"216","FDI21.5",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"217","FDI22.5",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"218","FDI23.5",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"219","FDI24.5",NA,NA,"FDI24","JU4093","sp.65","10/5/2022 11:45","",-44839.48958
"220","FDI26.5",NA,NA,"FDI26","JU4093","sp.65","10/13/2022 14:30","",-44847.60417
"221","FDI27.5",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"222","FDI28.5",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"223","FDI29.5",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"224","FDI30.5",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"225","FDI31.5",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"226","FDI32.5",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"227","FDI33.5",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"228","FDI34.5",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"229","FDI3.6",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"230","FDI4.6",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
"231","FDI5.6",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
"232","FDI6.6",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
"233","FDI7.6",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"234","FDI8.6",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"235","FDI9.6",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"236","FDI10.6",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"237","FDI11.6",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"238","FDI12.6",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"239","FDI14.6",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"240","FDI19.6",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"241","FDI20.6",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"242","FDI21.6",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"243","FDI22.6",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"244","FDI23.6",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"245","FDI24.6",NA,NA,"FDI24","JU4093","sp.65","1/0/1900 0:00","",0
"246","FDI26.6",NA,NA,"FDI26","JU4093","sp.65","1/0/1900 0:00","",0
"247","FDI27.6",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"248","FDI28.6",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
