"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"34","H4","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"35","H5","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"36","H6","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"37","H7","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"38","H8","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"39","H9","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"40","H10","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"41","A4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"42","A5","FDI11","strip",Inf,0,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"43","A6","FDI18","strip",Inf,0,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"44","A7","FDI18","strip",22.0242,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"45","A8","FDI30","strip",Inf,0,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"46","A9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"47","A10","FDI29","strip",Inf,0,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"48","A11","FDI29","strip",21.4737,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"49","B3","FDI5","strip",Inf,0,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"50","B4","FDI9","strip",29.3614,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"51","B5","FDI11","strip",Inf,1,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"52","B6","FDI18","strip",34.7499,1,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"53","B7","FDI18","strip",28.963,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"54","B8","FDI30","strip",Inf,1,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"55","B9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"56","B10","FDI29","strip",Inf,1,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"57","B11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"58","C3","FDI5","strip",Inf,1,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"59","C4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"60","C5","FDI11","strip",Inf,1,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
