"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"125","C11","FCZ18","strip",Inf,1,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"126","C12","FCZ18","strip",Inf,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"127","D3","FCZ10","strip",Inf,1,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"128","D4","FCZ10","strip",20.5155,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"129","D5","FCZ28","strip",Inf,1,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"130","D6","FCZ28","strip",21.8908,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"131","D7","FCZ14","strip",35.4949,1,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"132","D8","FCZ14","strip",37.1773,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"133","D9","FCZ13","strip",Inf,1,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"134","D10","FCZ13","strip",Inf,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"135","D11","FCZ18","strip",Inf,1,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"136","D12","FCZ18","strip",27.2356,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"137","E3","FCZ10","strip",28.1216,2,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"138","E4","FCZ10","strip",27.2964,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"139","E5","FCZ28","strip",34.6379,2,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"140","E6","FCZ28","strip",31.5711,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"141","E7","FCZ14","strip",Inf,2,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"142","E8","FCZ14","strip",37.1641,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"143","E9","FCZ13","strip",Inf,2,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"144","E10","FCZ13","strip",35.152,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"145","E11","FCZ18","strip",Inf,2,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"146","E12","FCZ18","strip",Inf,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"147","F3","FCZ10","strip",Inf,2,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"148","F4","FCZ10","strip",35.3751,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"149","F5","FCZ28","strip",32.452,2,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"150","F6","FCZ28","strip",31.0809,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"151","F7","FCZ14","strip",Inf,2,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"152","F8","FCZ14","strip",35.7448,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"153","F9","FCZ13","strip",Inf,2,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"154","F10","FCZ13","strip",Inf,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"155","F11","FCZ18","strip",32.1286,2,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"156","F12","FCZ18","strip",24.602,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"157","G3","FCZ10","strip",29.9492,2,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"158","G4","FCZ10","strip",Inf,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"159","G5","FCZ28","strip",32.0971,2,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"160","G6","FCZ28","strip",32.1591,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"161","G7","FCZ14","strip",Inf,2,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"162","G8","FCZ14","strip",35.3956,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"163","G9","FCZ13","strip",29.0676,2,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"164","G10","FCZ13","strip",Inf,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"165","G11","FCZ18","strip",37.6096,2,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"166","G12","FCZ18","strip",Inf,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"167","H3","FCZ10","strip",26.9847,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"168","H4","FCZ10","strip",Inf,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"169","H5","FCZ28","strip",Inf,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"170","H6","FCZ28","strip",33.7088,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"171","H7","FCZ14","strip",36.0335,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"172","H8","FCZ14","strip",Inf,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"173","H9","FCZ13","strip",22.809,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"174","H10","FCZ13","strip",35.4264,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"175","H11","FCZ18","strip",35.5002,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"176","H12","FCZ18","strip",35.4232,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"177","A4","FCZ8","strip",Inf,0,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"178","A5","FCZ8","strip",24.4282,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"179","A6","FCZ4","strip",Inf,0,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"180","A7","FCZ4","strip",27.1719,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"181","A8","FCZ5","strip",Inf,0,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"182","A9","FCZ5","strip",Inf,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"183","A10","FCZ15","strip",Inf,0,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"184","A11","FCZ15","strip",Inf,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"185","A12","FCZ23","strip",Inf,0,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"186","B4","FCZ8","strip",24.0199,1,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"187","B5","FCZ8","strip",18.6573,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"188","B6","FCZ4","strip",23.7076,1,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"189","B7","FCZ4","strip",Inf,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"190","B8","FCZ5","strip",Inf,1,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"191","B9","FCZ5","strip",Inf,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"192","B10","FCZ15","strip",Inf,1,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"193","B11","FCZ15","strip",35.1664,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"194","B12","FCZ23","strip",Inf,1,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"195","C4","FCZ8","strip",Inf,1,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
